,study_id,site_id,field_size,yield,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera,visit_others
321,Christof_Schuepp_Prunus_avium_Switzerland_2011,2,0.001,57.5,13.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,371.4285714286,0.0,0.0,28.5714285714,0.0,0.0,114.2857142857,0.0,0.0,228.5714285714,0.0
322,Christof_Schuepp_Prunus_avium_Switzerland_2011,3,0.001,25.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,228.5714285714,171.4285714286,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,28.5714285714,0.0
323,Christof_Schuepp_Prunus_avium_Switzerland_2011,4,0.001,32.63888889,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0
324,Christof_Schuepp_Prunus_avium_Switzerland_2011,5,0.001,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Christof_Schuepp_Prunus_avium_Switzerland_2011,6,0.001,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3333333333,0.0
326,Christof_Schuepp_Prunus_avium_Switzerland_2011,7,0.001,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,111.1111111111,0.0,0.0,0.0,0.0,0.0,0.0,44.4444444444,0.0,66.6666666667,0.0
327,Christof_Schuepp_Prunus_avium_Switzerland_2011,8,0.001,66.66666667,7.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,233.3333333333,0.0,0.0,0.0,0.0,0.0,133.3333333333,66.6666666667,0.0,33.3333333333,0.0
328,Christof_Schuepp_Prunus_avium_Switzerland_2011,9,0.001,41.66666667,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
329,Christof_Schuepp_Prunus_avium_Switzerland_2011,10,0.001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,85.7142857143,0.0,0.0,0.0,0.0,0.0,57.1428571429,0.0,0.0,28.5714285714,0.0
330,Christof_Schuepp_Prunus_avium_Switzerland_2011,11,0.001,56.07142857,7.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,140.0,0.0,0.0,80.0,0.0,0.0,40.0,0.0,0.0,20.0,0.0
331,Christof_Schuepp_Prunus_avium_Switzerland_2011,12,0.001,33.33333333,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
332,Christof_Schuepp_Prunus_avium_Switzerland_2011,13,0.001,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,0.0,0.0,0.0,28.5714285714,0.0,0.0,0.0,0.0
333,Christof_Schuepp_Prunus_avium_Switzerland_2011,14,0.001,12.5,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,66.6666666667,0.0,0.0,0.0,0.0,0.0,66.6666666667,0.0,0.0,0.0,0.0
334,Christof_Schuepp_Prunus_avium_Switzerland_2011,15,0.001,8.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Christof_Schuepp_Prunus_avium_Switzerland_2011,16,0.001,37.5,8.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,266.6666666667,0.0,0.0,33.3333333333,0.0,0.0,100.0,100.0,0.0,33.3333333333,0.0
