,study_id,site_id,variety,field_size,yield,yield_units,yield2,yield2_units,sampling_richness,observed_pollinator_richness,richness_restriction,sampling_abundance,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,ab_others
517,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B16,Duke,2.5,19000.0,kg per field,97.5734021042946,fruit set (%): flowers producing a berry),sweep net,11.0,all visitors considered,sweep net,356.0,183.0,170.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
518,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B17,Duke,8.0,100000.0,kg per field,95.6728778467909,fruit set (%): flowers producing a berry),sweep net,14.0,all visitors considered,sweep net,460.0,387.0,60.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
519,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B18,Duke,7.0,70000.0,kg per field,90.3559926386013,fruit set (%): flowers producing a berry),sweep net,10.0,all visitors considered,sweep net,285.0,156.0,124.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
520,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B19,Duke,1.66,13286.0,kg per field,71.7999874521614,fruit set (%): flowers producing a berry),sweep net,10.0,all visitors considered,sweep net,286.0,86.0,197.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
521,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B20,Duke,4.0,17000.0,kg per field,87.9930922986479,fruit set (%): flowers producing a berry),sweep net,11.0,all visitors considered,sweep net,202.0,81.0,116.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
522,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B21,Duke,3.0,11470.0,kg per field,87.2244703766443,fruit set (%): flowers producing a berry),sweep net,9.0,all visitors considered,sweep net,294.0,173.0,118.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
523,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B22,Duke,1.21,1269.0,kg per field,83.770430137707,fruit set (%): flowers producing a berry),sweep net,7.0,all visitors considered,sweep net,205.0,12.0,191.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B23,Duke,,,kg per field,90.5782004830918,fruit set (%): flowers producing a berry),sweep net,7.0,all visitors considered,sweep net,317.0,8.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B24,Duke,2.0,10000.0,kg per field,93.9327409707845,fruit set (%): flowers producing a berry),sweep net,8.0,all visitors considered,sweep net,311.0,213.0,95.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
526,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B25,Duke,2.6,36400.0,kg per field,90.247113997114,fruit set (%): flowers producing a berry),sweep net,8.0,all visitors considered,sweep net,398.0,280.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B26,Duke,0.25,1200.0,kg per field,93.201633310329,fruit set (%): flowers producing a berry),sweep net,9.0,all visitors considered,sweep net,648.0,548.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B27,Duke,6.0,58500.0,kg per field,82.092456657674,fruit set (%): flowers producing a berry),sweep net,9.0,all visitors considered,sweep net,193.0,98.0,92.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
529,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B28,Duke,3.4,20400.0,kg per field,90.7894158981116,fruit set (%): flowers producing a berry),sweep net,10.0,all visitors considered,sweep net,314.0,167.0,140.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
530,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B29,Duke,3.0,21000.0,,92.6588451805843,fruit set (%): flowers producing a berry),sweep net,9.0,all visitors considered,sweep net,220.0,97.0,119.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
531,David_Kleijn_Vaccinium_corymbosum_Netherlands_2013,B30,Duke,4.9,35770.0,kg per field,97.1014492753623,fruit set (%): flowers producing a berry),sweep net,12.0,all visitors considered,sweep net,539.0,420.0,112.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
532,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B16,Liberty,4.0,32000.0,kg per field,89.4691140027397,fruit set (%): flowers producing a berry),sweep net,8.0,all visitors considered,sweep net,406.0,187.0,217.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
533,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B17,Liberty,6.0,120000.0,kg per field,79.9745470578804,fruit set (%): flowers producing a berry),sweep net,10.0,all visitors considered,sweep net,394.0,232.0,158.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
534,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B18,Liberty,9.5,120000.0,kg per field,83.1877104377104,fruit set (%): flowers producing a berry),sweep net,6.0,all visitors considered,sweep net,349.0,210.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B19,Liberty,1.8,14300.0,kg per field,52.7698412698413,fruit set (%): flowers producing a berry),sweep net,10.0,all visitors considered,sweep net,406.0,195.0,204.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
536,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B20,Liberty,2.0,16000.0,kg per field,67.0502645502645,fruit set (%): flowers producing a berry),sweep net,4.0,all visitors considered,sweep net,373.0,287.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B21,Liberty,2.0,16200.0,kg per field,48.312447786132,fruit set (%): flowers producing a berry),sweep net,6.0,all visitors considered,sweep net,346.0,209.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B24,Liberty,,,,83.8955026455027,fruit set (%): flowers producing a berry),sweep net,5.0,all visitors considered,sweep net,286.0,145.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B25,Liberty,,,,78.9743858557068,fruit set (%): flowers producing a berry),sweep net,6.0,all visitors considered,sweep net,295.0,227.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B26,Liberty,0.6,3900.0,kg per field,50.7830687830688,fruit set (%): flowers producing a berry),sweep net,11.0,all visitors considered,sweep net,330.0,235.0,90.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
541,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B27,Liberty,2.5,10000.0,kg per field,55.1286743092299,fruit set (%): flowers producing a berry),sweep net,4.0,all visitors considered,sweep net,374.0,327.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
542,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B28,Liberty,3.74,51261.0,kg per field,76.5591630591631,fruit set (%): flowers producing a berry),sweep net,7.0,all visitors considered,sweep net,312.0,152.0,159.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
543,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B29,Liberty,3.33,21718.0,kg per field,55.8951525054466,fruit set (%): flowers producing a berry),sweep net,6.0,all visitors considered,sweep net,274.0,172.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B30,Liberty,3.6,53994.0,kg per field,77.3425925925926,fruit set (%): flowers producing a berry),sweep net,10.0,all visitors considered,sweep net,402.0,324.0,74.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
545,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B34,Liberty,0.125,1800.0,kg per field,74.6685563114135,fruit set (%): flowers producing a berry),sweep net,9.0,all visitors considered,sweep net,286.0,111.0,173.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
546,David_Kleijn_Vaccinium_corymbosum_Netherlands_2014,B35,Liberty,0.5,1000.0,kg per field,83.3274474063948,fruit set (%): flowers producing a berry),sweep net,9.0,all visitors considered,sweep net,356.0,163.0,183.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
